state,election_date,election_polls_open,election_polls_close,election_notes,early_voting_vip_start_date,early_voting_vip_close_date,early_voting_vbm_application_deadline,early_voting_vbm_return_date,early_voting_notes,registration_deadline,registration_online_deadline,registration_notes
AL,2018-11-03,,,,,,,,,,,
AK,2018-11-03,,,,,,,,,,,
AZ,2018-11-03,,,,,,,,,,,
AR,2018-11-03,,,,,,,,,,,
CA,2018-11-03,,,,,,,,,,,
CO,2018-11-03,,,,,,,,,,,
CT,2018-11-03,,,,,,,,,,,
DE,2018-11-03,,,,,,,,,,,
FL,2018-11-03,,,,,,,,,,,
GA,2018-11-03,,,,,,,,,,,
HI,2018-11-03,,,,,,,,,,,
ID,2018-11-03,,,,,,,,,,,
IL,2018-11-03,,,,,,,,,,,
IN,2018-11-03,,,,,,,,,,,
IA,2018-11-03,,,,,,,,,,,
KS,2018-11-03,,,,,,,,,,,
KY,2018-11-03,,,,,,,,,,,
LA,2018-11-03,,,,,,,,,,,
ME,2018-11-03,,,,,,,,,,,
MD,2018-11-03,,,,,,,,,,,
MA,2018-11-03,,,,,,,,,,,
MI,2018-11-03,,,,,,,,,,,
MN,2018-11-03,,,,,,,,,,,
MS,2018-11-03,,,,,,,,,,,
MO,2018-11-03,,,,,,,,,,,
MT,2018-11-03,,,,,,,,,,,
NE,2018-11-03,,,,,,,,,,,
NV,2018-11-03,,,,,,,,,,,
NH,2018-11-03,,,,,,,,,,,
NJ,2018-11-03,,,,,,,,,,,
NM,2018-11-03,,,,,,,,,,,
NY,2018-11-03,,,,,,,,,,,
NC,2018-11-03,,,,,,,,,,,
ND,2018-11-03,,,,,,,,,,,
OH,2018-11-03,,,,,,,,,,,
OK,2018-11-03,,,,,,,,,,,
OR,2018-11-03,,,,,,,,,,,
PA,2018-11-03,,,,,,,,,,,
RI,2018-11-03,,,,,,,,,,,
SC,2018-11-03,,,,,,,,,,,
SD,2018-11-03,,,,,,,,,,,
TN,2018-11-03,,,,,,,,,,,
TX,2018-11-03,,,,,,,,,,,
UT,2018-11-03,,,,,,,,,,,
VT,2018-11-03,,,,,,,,,,,
VA,2018-11-03,,,,,,,,,,,
WA,2018-11-03,,,,,,,,,,,
WV,2018-11-03,,,,,,,,,,,
WI,2018-11-03,,,,,,,,,,,
WY,2018-11-03,,,,,,,,,,,
DC,2018-11-03,,,,,,,,,,,