state,election_date,election_level,election_variant,election_openness,election_party,who_can_vote,voters_register_by_party,party_reaffil_deadline_indeps,party_reaffil_deadline_others,voting_reaffiliates_automatically,election_notes,election_link,registration_deadline,online_registration_deadline,in_person_poll_open_time,in_person_poll_close_time,runoff_election_date
IA,2020-02-03,president,caucus,closed,dem,only_party_members,yes,2020-02-03,2020-02-03,,,https://www.thecaucuses.org/,2020-02-03,,,,
IA,2020-02-03,president,caucus,closed,gop,only_party_members,yes,2020-02-03,2020-02-03,,,https://www.iowagop.org/caucus_faq,2020-02-03,,,,
NH,2020-02-11,president,primary,semi-closed,dem,party_members_and_independents,yes,2020-02-11,2019-10-25,yes-unless-immediate-petition,,https://sos.nh.gov/Elections.aspx,2020-02-11,,,,
NH,2020-02-11,president,primary,semi-closed,gop,party_members_and_independents,yes,2020-02-11,2019-10-25,yes-unless-immediate-petition,,https://sos.nh.gov/Elections.aspx,2020-02-11,,,,
NV,2020-02-22,president,caucus,closed,dem,only_party_members,yes,2020-02-22,2020-02-22,,,https://nvdems.com/2020-caucus/,2020-02-22,,,,
SC,2020-02-29,president,primary,open,dem,all_voters,no,,,,,https://www.scvotes.org/,2020-01-30,,,,
AS,2020-03-03,president,caucus,closed,dem,only_party_members,no,2020-02-28,2020-02-28,no,Registered voters who wish to participate in the American Samoa Caucuses must become members of the territory's Democratic Party. This is a non-governmental process as the territory's election office does not track voters' party affiliation.,http://asdems.com/wp-content/uploads/2019/07/2020_delegate_selection_plan_draft_upload.pdf,2020-02-28,,,,
AL,2020-03-03,all,primary,open,dem,all_voters,no,,,,,https://www.sos.alabama.gov/alabama-votes/voter/election-information/2020,2020-02-17,,,,
AL,2020-03-03,all,primary,open,gop,all_voters,no,,,,,https://www.sos.alabama.gov/alabama-votes/voter/election-information/2020,2020-02-17,,,,
AR,2020-03-03,all,primary,open,dem,all_voters,no,,,,,https://www.sos.arkansas.gov/elections,2020-02-03,,,,
AR,2020-03-03,all,primary,open,gop,all_voters,no,,,,,https://www.sos.arkansas.gov/elections,2020-02-03,,,,
CA,2020-03-03,president,primary,semi-closed,dem,party_members_and_independents,yes,2020-02-18,2020-02-18,no,,https://voterguide.sos.ca.gov/,2020-02-18,,,,
CA,2020-03-03,president,primary,closed,gop,only_party_members,yes,2020-02-18,2020-02-18,,,https://voterguide.sos.ca.gov/,2020-02-18,,,,
CA,2020-03-03,downticket,primary,all-party,,all_voters,yes,2020-02-18,2020-02-18,,,https://voterguide.sos.ca.gov/,2020-02-18,,,,
CO,2020-03-03,president,primary,semi-closed,dem,party_members_and_independents,yes,2020-03-03,2020-03-03,no,,https://www.sos.state.co.us/pubs/elections/main.html,2020-03-03,,,,
CO,2020-03-03,president,primary,semi-closed,gop,party_members_and_independents,yes,2020-03-03,2020-03-03,no,,https://www.sos.state.co.us/pubs/elections/main.html,2020-03-03,,,,
ME,2020-03-03,president,primary,closed,dem,only_party_members,yes,2020-03-03,2020-02-14,,,https://www.maine.gov/sos/cec/elec/upcoming/index.html#pres,2020-03-03,,,,
ME,2020-03-03,president,primary,closed,gop,only_party_members,yes,2020-03-03,2020-02-14,,,https://www.maine.gov/sos/cec/elec/upcoming/index.html#pres,2020-03-03,,,,
MA,2020-03-03,president,primary,semi-closed,dem,party_members_and_independents,yes,2020-02-12,2020-02-12,no,,https://www.sec.state.ma.us/ele/eleidx.htm,2020-02-12,,,,
MA,2020-03-03,president,primary,semi-closed,gop,party_members_and_independents,yes,2020-02-12,2020-02-12,no,,https://www.sec.state.ma.us/ele/eleidx.htm,2020-02-12,,,,
MN,2020-03-03,president,primary,open,dem,all_voters,no,,,,,https://www.sos.state.mn.us/elections-voting/how-elections-work/presidential-primary/,2020-03-03,,,,
MN,2020-03-03,president,primary,open,gop,all_voters,no,,,,,https://www.sos.state.mn.us/elections-voting/how-elections-work/presidential-primary/,2020-03-03,,,,
NC,2020-03-03,all,primary,semi-closed,dem,party_members_and_independents,yes,2020-02-07,2020-02-07,no,,https://www.ncsbe.gov/index.html,2020-02-07,,,,
NC,2020-03-03,all,primary,semi-closed,gop,party_members_and_independents,yes,2020-02-07,2020-02-07,no,,https://www.ncsbe.gov/index.html,2020-02-07,,,,
OK,2020-03-03,president,primary,semi-closed,dem,party_members_and_independents,yes,2020-03-31,2020-03-31,no,,https://www.ok.gov/elections/index.html,2020-02-07,,,,
OK,2020-03-03,president,primary,closed,gop,only_party_members,yes,2020-03-31,2020-03-31,,,https://www.ok.gov/elections/index.html,2020-02-07,,,,
TN,2020-03-03,president,primary,open,dem,all_voters,no,,,,,https://www.sos.tn.gov/elections,2020-02-03,,,,
TN,2020-03-03,president,primary,open,gop,all_voters,no,,,,,https://www.sos.tn.gov/elections,2020-02-03,,,,
TX,2020-03-03,all,primary,open,dem,all_voters,no,,,,,https://www.sos.state.tx.us/elections/,2020-02-03,,,,
TX,2020-03-03,all,primary,open,gop,all_voters,no,,,,,https://www.sos.state.tx.us/elections/,2020-02-03,,,,
UT,2020-03-03,president,primary,open,dem,all_voters,yes,2020-02-03,2020-02-03,no,,https://voteinfo.utah.gov/,2020-02-25,,,,
UT,2020-03-03,president,primary,closed,gop,only_party_members,yes,2020-02-03,2020-02-03,,,https://voteinfo.utah.gov/,2020-02-25,,,,
VT,2020-03-03,president,primary,open,dem,all_voters,no,,,,,https://www.sec.state.vt.us/elections.aspx,2020-03-03,,,,
VT,2020-03-03,president,primary,open,gop,all_voters,no,,,,,https://www.sec.state.vt.us/elections.aspx,2020-03-03,,,,
VA,2020-03-03,president,primary,open,dem,all_voters,no,,,,,https://www.elections.virginia.gov/,2020-02-10,,,,
democrats-abroad,2020-03-10,president,primary,closed,dem,only_party_members,,2020-03-10,2020-03-10,no,Democrats Abroad primary voting runs from March 3 to March 10. Voters must become members of Democrats Abroad and pledge not to participate in any other 2020 presidential primary.,https://www.democratsabroad.org/2020primary,2020-03-03,,,,
ID,2020-03-10,president,primary,semi-closed,dem,party_members_and_independents,yes,2020-03-10,2020-03-10,no,,https://sos.idaho.gov/elections-division/2020-presidential-primary-information/,2020-03-10,,,,
ID,2020-03-10,president,primary,closed,gop,only_party_members,yes,2020-03-10,2020-03-10,no,,https://sos.idaho.gov/elections-division/2020-presidential-primary-information/,2020-03-10,,,,
ND,2020-03-10,president,firehouse-caucus,open,dem,all_voters,no,,,,North Dakota does not require voters to register with the state.,https://demnpl.com/wp-content/uploads/2019/09/Dem-NPL-2020-DSP.pdf,,,,,
MI,2020-03-10,president,primary,open,dem,all_voters,no,,,,,"https://www.michigan.gov/sos/0,4670,7-127-1633_48760---,00.html",2020-03-10,,,,
MI,2020-03-10,president,primary,open,gop,all_voters,no,,,,,"https://www.michigan.gov/sos/0,4670,7-127-1633_48760---,00.html",2020-03-10,,,,
MS,2020-03-10,all,primary,open,dem,all_voters,no,,,,,https://www.sos.ms.gov/Elections-Voting/Pages/default.aspx,2020-02-10,,,,
MS,2020-03-10,all,primary,open,gop,all_voters,no,,,,,https://www.sos.ms.gov/Elections-Voting/Pages/default.aspx,2020-02-10,,,,
MO,2020-03-10,president,primary,open,dem,all_voters,no,,,,,https://www.sos.mo.gov/elections/candidates#PPP,2020-02-12,,,,
MO,2020-03-10,president,primary,open,gop,all_voters,no,,,,,https://www.sos.mo.gov/elections/candidates#PPP,2020-02-12,,,,
WA,2020-03-10,president,primary,open,dem,all_voters,no,,,,,https://www.sos.wa.gov/elections/,2020-03-10,,,,
WA,2020-03-10,president,primary,open,gop,all_voters,no,,,,,https://www.sos.wa.gov/elections/,2020-03-10,,,,
AZ,2020-03-17,president,primary,closed,dem,only_party_members,yes,2020-02-18,2020-02-18,,,https://azsos.gov/elections/,2020-02-18,,,,
FL,2020-03-17,president,primary,closed,dem,only_party_members,yes,2020-02-18,2020-02-18,,,https://dos.myflorida.com/elections/,2020-02-18,,,,
FL,2020-03-17,president,primary,closed,gop,only_party_members,yes,2020-02-18,2020-02-18,,,https://dos.myflorida.com/elections/,2020-02-18,,,,
IL,2020-03-17,all,primary,open,dem,all_voters,no,,,,,https://www.elections.il.gov/,2020-03-17,,,,
IL,2020-03-17,all,primary,open,gop,all_voters,no,,,,,https://www.elections.il.gov/,2020-03-17,,,,
OH,2020-03-17,all,primary,open,dem,all_voters,no,,,,,https://www.ohiosos.gov/elections/,2020-02-18,,,,
OH,2020-03-17,all,primary,open,gop,all_voters,no,,,,,https://www.ohiosos.gov/elections/,2020-02-18,,,,
GA,2020-03-24,president,primary,open,dem,all_voters,no,,,,,https://sos.ga.gov/index.php/elections,2020-02-24,,,,
GA,2020-03-24,president,primary,open,gop,all_voters,no,,,,,https://sos.ga.gov/index.php/elections,2020-02-24,,,,
PR,2020-03-29,president,primary,open,dem,all_voters,no,,,,,https://drive.google.com/file/d/1ZIGAYpOomr4GHDwGUr7mHcQnEAqjlyhd/view,2020-02-08,,,,
AK,2020-04-04,president,primary,closed,dem,only_party_members,yes,2020-04-04,2020-04-04,,,http://www.alaskademocrats.org/2020-presidential-primary,2020-04-04,,,,
HI,2020-04-04,president,primary,closed,dem,only_party_members,no,,,,"Voters in Hawaii do not register a party affiliation, but the Hawaii Democratic Party requires participants in the April 4 primary to be state party members.",https://hawaiidemocrats.org/2020ppp/,2020-04-04,,,,
LA,2020-04-04,president,primary,semi-closed,dem,only_party_members,yes,2020-03-15,2020-03-15,,,https://www.sos.la.gov/ElectionsAndVoting/Pages/default.aspx,2020-03-14,,,,
LA,2020-04-04,president,primary,semi-closed,gop,only_party_members,yes,2020-03-15,2020-03-15,,,https://www.sos.la.gov/ElectionsAndVoting/Pages/default.aspx,2020-03-14,,,,
WY,2020-04-04,president,caucus,closed,dem,only_party_members,yes,2020-04-04,2020-04-04,,,https://drive.google.com/file/d/0BzAMxeqJQEH_eEpkTWhId05LX0Ntd2NkMENpQ1E2VlFlTmRV/view,2020-03-20,,,,
WI,2020-04-07,president,primary,open,dem,all_voters,no,,,,,https://elections.wi.gov/elections-voting/elections,2020-04-07,,,,
WI,2020-04-07,president,primary,open,gop,all_voters,no,,,,,https://elections.wi.gov/elections-voting/elections,2020-04-07,,,,
CT,2020-04-28,president,primary,closed,dem,only_party_members,yes,2020-04-27,2020-01-28,,,https://portal.ct.gov/SOTS/Common-Elements/V5-Template---Redesign/Elections--Voting--Home-Page,2020-04-27,,,,
CT,2020-04-28,president,primary,closed,gop,only_party_members,yes,2020-04-27,2020-01-28,,,https://portal.ct.gov/SOTS/Common-Elements/V5-Template---Redesign/Elections--Voting--Home-Page,2020-04-27,,,,
DE,2020-04-28,president,primary,closed,dem,only_party_members,yes,2020-02-28,2020-02-28,,,https://elections.delaware.gov/index.shtml,2020-04-04,,,,
DE,2020-04-28,president,primary,closed,gop,only_party_members,yes,2020-02-28,2020-02-28,,,https://elections.delaware.gov/index.shtml,2020-04-04,,,,
MD,2020-04-28,all,primary,closed,dem,only_party_members,yes,2020-04-07,2020-04-07,,,https://elections.maryland.gov/,2020-04-07,,,,
MD,2020-04-28,all,primary,closed,gop,only_party_members,yes,2020-04-07,2020-04-07,,,https://elections.maryland.gov/,2020-04-07,,,,
NY,2020-04-28,president,primary,closed,dem,only_party_members,yes,2020-02-14,2020-02-14,,,https://www.elections.ny.gov/INDEX.html,2020-04-03,,,,
NY,2020-04-28,president,primary,closed,gop,only_party_members,yes,2020-02-14,2020-02-14,,,https://www.elections.ny.gov/INDEX.html,2020-04-03,,,,
PA,2020-04-28,all,primary,closed,dem,only_party_members,yes,2020-03-28,2020-03-28,,,https://www.votespa.com/Pages/default.aspx,2020-04-13,,,,
PA,2020-04-28,all,primary,closed,gop,only_party_members,yes,2020-03-28,2020-03-28,,,https://www.votespa.com/Pages/default.aspx,2020-04-13,,,,
RI,2020-04-28,president,primary,closed,dem,only_party_members,yes,2020-04-28,2020-02-28,yes-unless-immediate-petition,,http://www.elections.ri.gov/,2020-03-29,,,,
RI,2020-04-28,president,primary,closed,gop,only_party_members,yes,2020-04-28,2020-02-28,yes-unless-immediate-petition,,http://www.elections.ri.gov/,2020-03-29,,,,
GU,2020-05-02,president,primary,closed,dem,only_party_members,yes,2020-05-02,2020-05-02,,,https://drive.google.com/file/d/1J9QzuC5-xmCfRtysKt2YxIMgoGHujE5R/view?fbclid=IwAR2xU87PFX_CWnxzTt3YOe04hd1jTDiOJT0eobPs3eZ3eQquv5ROty1TQPs,2020-05-02,,,,
KS,2020-05-02,president,primary,closed,dem,only_party_members,yes,2020-05-02,2020-05-02,,,https://kansasdems.org/2020primary,2020-05-02,,,,
IN,2020-05-05,all,primary,open,dem,all_voters,no,,,,,https://www.in.gov/sos/elections/index.htm,2020-04-06,,,,
IN,2020-05-05,all,primary,open,gop,all_voters,no,,,,,https://www.in.gov/sos/elections/index.htm,2020-04-06,,,,
NE,2020-05-12,all,primary,semi-closed,dem,party_members_and_independents,yes,2020-05-01,2020-05-01,,,https://www.nebraska.gov/featured/elections-voting/,2020-05-01,,,,
NE,2020-05-12,all,primary,closed,gop,only_party_members,yes,2020-05-01,2020-05-01,,,https://www.nebraska.gov/featured/elections-voting/,2020-05-01,,,,
WV,2020-05-12,all,primary,semi-closed,dem,party_members_and_independents,yes,2020-05-21,2020-05-21,,,https://sos.wv.gov/elections/Pages/default.aspx,2020-04-21,,,,
WV,2020-05-12,all,primary,semi-closed,gop,party_members_and_independents,yes,2020-05-21,2020-05-21,,,https://sos.wv.gov/elections/Pages/default.aspx,2020-04-21,,,,
GA,2020-05-19,downticket,primary,open,dem,all_voters,no,,,,,https://sos.ga.gov/index.php/elections,2020-04-20,,,,
GA,2020-05-19,downticket,primary,open,gop,all_voters,no,,,,,https://sos.ga.gov/index.php/elections,2020-04-20,,,,
ID,2020-05-19,downticket,primary,open,dem,all_voters,yes,2020-05-19,2020-03-13,no,,https://sos.idaho.gov/elections-division/,2020-05-19,,,,
ID,2020-05-19,downticket,primary,closed,gop,only_party_members,yes,2020-05-19,2020-03-13,,,https://sos.idaho.gov/elections-division/,2020-05-19,,,,
KY,2020-05-19,all,primary,closed,dem,only_party_members,yes,2019-12-31,2019-12-31,,,https://vrsws.sos.ky.gov/ovrweb/govoteky,2020-04-20,,,,
KY,2020-05-19,all,primary,closed,gop,only_party_members,yes,2019-12-31,2019-12-31,,,https://vrsws.sos.ky.gov/ovrweb/govoteky,2020-04-20,,,,
OR,2020-05-19,all,primary,closed,dem,only_party_members,yes,2020-04-28,2020-04-28,,,https://sos.oregon.gov/voting-elections/Pages/default.aspx,2020-04-28,,,,
OR,2020-05-19,all,primary,closed,gop,only_party_members,yes,2020-04-28,2020-04-28,,,https://sos.oregon.gov/voting-elections/Pages/default.aspx,2020-04-28,,,,
DC,2020-06-02,president,primary,closed,dem,only_party_members,yes,2020-05-12,2020-05-12,,,https://www.dcboe.org/,2020-06-02,,,,
DC,2020-06-02,president,primary,closed,gop,only_party_members,yes,2020-05-12,2020-05-12,,,https://www.dcboe.org/,2020-06-02,,,,
IA,2020-06-02,downticket,primary,closed,dem,only_party_members,yes,2020-06-02,2020-06-02,,,https://sos.iowa.gov/elections/,2020-05-22,,,,
IA,2020-06-02,downticket,primary,closed,gop,only_party_members,yes,2020-06-02,2020-06-02,,,https://sos.iowa.gov/elections/,2020-05-22,,,,
MT,2020-06-02,all,primary,open,dem,all_voters,no,,,,,https://sosmt.gov/elections/,2020-06-02,,,,
MT,2020-06-02,all,primary,open,gop,all_voters,no,,,,,https://sosmt.gov/elections/,2020-06-02,,,,
NJ,2020-06-02,all,primary,closed,dem,only_party_members,yes,2020-06-02,2020-04-08,,,https://www.nj.gov/state/elections/index.shtml,2020-05-12,,,,
NJ,2020-06-02,all,primary,closed,gop,only_party_members,yes,2020-06-02,2020-04-08,,,https://www.nj.gov/state/elections/index.shtml,2020-05-12,,,,
NM,2020-06-02,all,primary,closed,dem,only_party_members,yes,2020-05-04,2020-05-04,,,https://www.sos.state.nm.us/voting-and-elections/,2020-05-04,,,,
NM,2020-06-02,all,primary,closed,gop,only_party_members,yes,2020-05-04,2020-05-04,,,https://www.sos.state.nm.us/voting-and-elections/,2020-05-04,,,,
SD,2020-06-02,all,primary,semi-closed,dem,party_members_and_independents,yes,2020-05-18,2020-05-18,no,,https://sdsos.gov/elections-voting/,2020-05-18,,,,
SD,2020-06-02,all,primary,closed,gop,only_party_members,yes,2020-05-18,2020-05-18,no,,https://sdsos.gov/elections-voting/,2020-05-18,,,,
VI,2020-06-06,president,caucus,closed,dem,only_party_members,yes,2020-05-05,2020-05-05,,,https://drive.google.com/file/d/1R6kZ_X4v4hU6O_Bz9eN3TVnPl8OdZVMg/view,2020-05-05,,,,
ME,2020-06-09,downticket,primary,closed,dem,only_party_members,yes,2020-06-09,2020-05-22,,,https://www.maine.gov/sos/cec/elec/upcoming/index.html#state,2020-06-09,,,,
ME,2020-06-09,downticket,primary,closed,gop,only_party_members,yes,2020-06-09,2020-05-22,,,https://www.maine.gov/sos/cec/elec/upcoming/index.html#state,2020-06-09,,,,
NV,2020-06-09,downticket,primary,closed,dem,only_party_members,yes,2020-06-09,2020-06-09,,,https://www.nvsos.gov/sos/elections/2020-election,2020-06-09,,,,
NV,2020-06-09,downticket,primary,closed,gop,only_party_members,yes,2020-06-09,2020-06-09,,,https://www.nvsos.gov/sos/elections/2020-election,2020-06-09,,,,
ND,2020-06-09,downticket,primary,open,dem,all_voters,no,,,,,https://vip.sos.nd.gov/PortalList.aspx,,,,,
ND,2020-06-09,downticket,primary,open,gop,all_voters,no,,,,,https://vip.sos.nd.gov/PortalList.aspx,,,,,
SC,2020-06-09,downticket,primary,open,dem,all_voters,no,,,,,https://www.scvotes.org/,2020-05-11,,,,
SC,2020-06-09,downticket,primary,open,gop,all_voters,no,,,,,https://www.scvotes.org/,2020-05-11,,,,
VA,2020-06-09,downticket,primary,open,dem,all_voters,no,,,,,https://www.elections.virginia.gov/,2020-05-18,,,,
VA,2020-06-09,downticket,primary,open,gop,all_voters,no,,,,,https://www.elections.virginia.gov/,2020-05-18,,,,
NY,2020-06-23,downticket,primary,closed,dem,only_party_members,yes,2020-02-14,2020-02-14,,,https://www.elections.ny.gov/INDEX.html,2020-05-29,,,,
NY,2020-06-23,downticket,primary,closed,gop,only_party_members,yes,2020-02-14,2020-02-14,,,https://www.elections.ny.gov/INDEX.html,2020-05-29,,,,
CO,2020-06-30,downticket,primary,semi-closed,dem,party_members_and_independents,yes,2020-06-01,2020-06-01,no,,https://www.sos.state.co.us/voter/pages/pub/home.xhtml,2020-06-30,,,,
CO,2020-06-30,downticket,primary,semi-closed,gop,party_members_and_independents,yes,2020-06-01,2020-06-01,no,,https://www.sos.state.co.us/voter/pages/pub/home.xhtml,2020-06-30,,,,
OK,2020-06-30,downticket,primary,semi-closed,dem,party_members_and_independents,yes,2020-03-31,2020-03-31,no,,https://www.ok.gov/elections/index.html,2020-06-05,,,,
OK,2020-06-30,downticket,primary,closed,gop,only_party_members,yes,2020-03-31,2020-03-31,no,,https://www.ok.gov/elections/index.html,2020-06-05,,,,
UT,2020-06-30,downticket,primary,,dem,,yes,2020-05-31,2020-05-31,,,https://voteinfo.utah.gov/,,,,,
UT,2020-06-30,downticket,primary,,gop,,yes,2020-05-31,2020-05-31,,,https://voteinfo.utah.gov/,,,,,
AZ,2020-08-04,downticket,primary,semi-closed,dem,party_members_and_independents,yes,2020-07-06,2020-07-06,,,https://azsos.gov/elections,2020-07-06,,,,
AZ,2020-08-04,downticket,primary,semi-closed,gop,party_members_and_independents,yes,2020-07-06,2020-07-06,,,https://azsos.gov/elections,2020-07-06,,,,
KS,2020-08-04,downticket,primary,closed,dem,only_party_members,yes,2020-07-14,2020-07-14,,,https://sos.kansas.gov/elections/,2020-07-14,,,,
KS,2020-08-04,downticket,primary,closed,gop,only_party_members,yes,2020-07-14,2020-07-14,,,https://sos.kansas.gov/elections/,2020-07-14,,,,
MI,2020-08-04,downticket,primary,open,dem,all_voters,no,,,,,"https://www.michigan.gov/sos/0,4670,7-127-1633---,00.html",2020-08-04,,,,
MI,2020-08-04,downticket,primary,open,gop,all_voters,no,,,,,"https://www.michigan.gov/sos/0,4670,7-127-1633---,00.html",2020-08-04,,,,
MO,2020-08-04,downticket,primary,open,dem,all_voters,no,,,,,https://www.sos.mo.gov/elections/candidates#PrimaryElectionAugust,2020-07-08,,,,
MO,2020-08-04,downticket,primary,open,gop,all_voters,no,,,,,https://www.sos.mo.gov/elections/candidates#PrimaryElectionAugust,2020-07-08,,,,
WA,2020-08-04,downticket,primary,all-party,,all_voters,no,,,,,https://www.sos.wa.gov/elections/,2020-08-04,,,,
TN,2020-08-06,downticket,primary,open,dem,all_voters,no,,,,,https://www.sos.tn.gov/elections,2020-07-07,,,,
TN,2020-08-06,downticket,primary,open,gop,all_voters,no,,,,,https://www.sos.tn.gov/elections,2020-07-07,,,,
CT,2020-08-11,downticket,primary,closed,dem,only_party_members,yes,2020-08-10,2020-05-11,,,https://portal.ct.gov/SOTS/Common-Elements/V5-Template---Redesign/Elections--Voting--Home-Page,2020-08-10,,,,
CT,2020-08-11,downticket,primary,closed,gop,only_party_members,yes,2020-08-10,2020-05-11,,,https://portal.ct.gov/SOTS/Common-Elements/V5-Template---Redesign/Elections--Voting--Home-Page,2020-08-10,,,,
HI,2020-08-08,downticket,primary,open,dem,all_voters,no,,,,,https://elections.hawaii.gov/,2020-08-08,,,,
HI,2020-08-08,downticket,primary,open,gop,all_voters,no,,,,,https://elections.hawaii.gov/,2020-08-08,,,,
MN,2020-08-11,downticket,primary,open,dem,all_voters,no,,,,,https://www.sos.state.mn.us/elections-voting/how-elections-work/primary-election/,2020-08-11,,,,
MN,2020-08-11,downticket,primary,open,gop,all_voters,no,,,,,https://www.sos.state.mn.us/elections-voting/how-elections-work/primary-election/,2020-08-11,,,,
VT,2020-08-11,downticket,primary,open,dem,all_voters,no,,,,,https://www.sec.state.vt.us/elections.aspx,2020-08-11,,,,
VT,2020-08-11,downticket,primary,open,gop,all_voters,no,,,,,https://www.sec.state.vt.us/elections.aspx,2020-08-11,,,,
WI,2020-08-11,downticket,primary,open,dem,all_voters,no,,,,,https://elections.wi.gov/,2020-08-11,,,,
WI,2020-08-11,downticket,primary,open,gop,all_voters,no,,,,,https://elections.wi.gov/,2020-08-11,,,,
AK,2020-08-18,downticket,primary,open,dem,all_voters,yes,2020-07-19,2020-07-19,no,,http://www.elections.alaska.gov/,2020-07-19,,,,
AK,2020-08-18,downticket,primary,semi-closed,gop,party_members_and_independents,yes,2020-07-19,2020-07-19,no,,http://www.elections.alaska.gov/,2020-07-19,,,,
FL,2020-08-18,downticket,primary,closed,dem,only_party_members,yes,2020-07-20,2020-07-20,,,https://dos.myflorida.com/elections/,2020-07-20,,,,
FL,2020-08-18,downticket,primary,closed,gop,only_party_members,yes,2020-07-20,2020-07-20,,,https://dos.myflorida.com/elections/,2020-07-20,,,,
WY,2020-08-18,downticket,primary,closed,dem,only_party_members,yes,2020-08-18,2020-08-18,,,http://soswy.state.wy.us/Elections/Default.aspx,2020-08-03,,,,
WY,2020-08-18,downticket,primary,closed,gop,only_party_members,yes,2020-08-18,2020-08-18,,,http://soswy.state.wy.us/Elections/Default.aspx,2020-08-03,,,,
MA,2020-09-01,downticket,primary,semi-closed,dem,party_members_and_independents,yes,2020-08-12,2020-08-12,no,,https://www.sec.state.ma.us/ele/eleidx.htm,2020-08-12,,,,
MA,2020-09-01,downticket,primary,semi-closed,gop,party_members_and_independents,yes,2020-08-12,2020-08-12,no,,https://www.sec.state.ma.us/ele/eleidx.htm,2020-08-12,,,,
NH,2020-09-08,downticket,primary,semi-closed,dem,party_members_and_independents,yes,2020-09-08,2020-06-02,yes-unless-immediate-petition,,https://sos.nh.gov/Elections.aspx,2020-09-08,,,,
NH,2020-09-08,downticket,primary,semi-closed,gop,party_members_and_independents,yes,2020-09-08,2020-06-02,yes-unless-immediate-petition,,https://sos.nh.gov/Elections.aspx,2020-09-08,,,,
RI,2020-09-08,downticket,primary,semi-closed,dem,only_party_members,yes,2020-09-08,2020-07-10,yes-unless-immediate-petition,,http://www.elections.ri.gov/,2020-08-09,,,,
RI,2020-09-08,downticket,primary,semi-closed,gop,only_party_members,yes,2020-09-08,2020-07-10,yes-unless-immediate-petition,,http://www.elections.ri.gov/,2020-08-09,,,,
DE,2020-09-15,downticket,primary,closed,dem,only_party_members,yes,2020-05-29,2020-05-29,,,https://elections.delaware.gov/index.shtml,2020-08-22,,,,
DE,2020-09-15,downticket,primary,closed,gop,only_party_members,yes,2020-05-29,2020-05-29,,,https://elections.delaware.gov/index.shtml,2020-08-22,,,,
LA,2020-11-03,downticket,primary,all-party,,all_voters,yes,,,,,https://www.sos.la.gov/ElectionsAndVoting/Pages/default.aspx,2020-10-13,,,,
